2026-04-15 08:55:39,744 INFO - Aggregating Monthly Revenue
2026-04-15 08:55:39,747 INFO - Saving to monthly_revenue.csv
2026-04-15 08:55:39,751 INFO - Reading Cleaned Data for Salesperson Performance Aggregation
2026-04-15 08:55:39,754 INFO - Aggregating Salesperson Performance
2026-04-15 08:55:39,759 INFO - Saving to salesperson_performance.csv
2026-04-15 08:55:39,759 INFO - Data Cleaning and Transformation Complete
2026-04-15 09:04:47,131 INFO - Loading the Uncleaned Dataset
2026-04-15 09:04:47,141 INFO - Viewing the different data types in the document
2026-04-15 09:04:47,141 INFO - Changing date datatype from string to datetime
2026-04-15 09:04:47,161 INFO - Changing from integer to float (decimal)
2026-04-15 09:04:47,162 INFO - Rechecking data types
2026-04-15 09:04:47,164 INFO - Looking for duplicates
2026-04-15 09:04:47,167 INFO - Dropping duplicated entries
2026-04-15 09:04:47,169 INFO - Counting for empty rows in the dataframe
2026-04-15 09:04:47,169 INFO - Showcasing specific empty rows
2026-04-15 09:04:47,170 INFO - Filling in the empty salesperson rows
2026-04-15 09:04:47,173 INFO - Calculating the average number of chairs
2026-04-15 09:04:47,174 INFO - Filling in the empty chair values
2026-04-15 09:04:47,175 INFO - Resetting the index
2026-04-15 09:04:47,175 INFO - Inserting revenue column
2026-04-15 09:04:47,176 INFO - Adding month column
2026-04-15 09:04:47,179 INFO - Exporting Cleaned Dataset
2026-04-15 09:04:47,180 INFO - Data Cleaning Complete
2026-04-15 09:04:47,191 INFO - Reading Cleaned Data for Sales by Region Aggregation
2026-04-15 09:04:47,196 INFO - Aggregating Sales by Region
2026-04-15 09:04:47,203 INFO - Saving to sales_by_region.csv
2026-04-15 09:04:47,207 INFO - Reading Cleaned Data for Sales by Product Aggregation
2026-04-15 09:04:47,210 INFO - Aggregating Sales by Product
2026-04-15 09:04:47,214 INFO - Saving to sales_by_product.csv
2026-04-15 09:04:47,217 INFO - Reading Cleaned Data for Monthly Revenue Aggregation
2026-04-15 09:04:47,221 INFO - Aggregating Monthly Revenue
2026-04-15 09:04:47,224 INFO - Saving to monthly_revenue.csv
2026-04-15 09:04:47,228 INFO - Reading Cleaned Data for Salesperson Performance Aggregation
2026-04-15 09:04:47,232 INFO - Aggregating Salesperson Performance
2026-04-15 09:04:47,237 INFO - Saving to salesperson_performance.csv
2026-04-15 09:04:47,237 INFO - Data Cleaning and Transformation Complete
2026-04-15 09:28:04,949 INFO - Loading the Uncleaned Dataset
2026-04-15 09:28:04,960 INFO - Viewing the different data types in the document
2026-04-15 09:28:04,960 INFO - Changing date datatype from string to datetime
2026-04-15 09:28:04,981 INFO - Changing from integer to float (decimal)
2026-04-15 09:28:04,982 INFO - Rechecking data types
2026-04-15 09:28:04,985 INFO - Looking for duplicates
2026-04-15 09:28:04,987 INFO - Dropping duplicated entries
2026-04-15 09:28:04,991 INFO - Counting for empty rows in the dataframe
2026-04-15 09:28:04,992 INFO - Showcasing specific empty rows
2026-04-15 09:28:04,992 INFO - Filling in the empty salesperson rows
2026-04-15 09:28:04,996 INFO - Calculating the average number of chairs
2026-04-15 09:28:04,997 INFO - Filling in the empty chair values
2026-04-15 09:28:04,997 INFO - Resetting the index
2026-04-15 09:28:04,998 INFO - Inserting revenue column
2026-04-15 09:28:04,999 INFO - Adding month column
2026-04-15 09:28:05,002 INFO - Exporting Cleaned Dataset
2026-04-15 09:28:05,002 INFO - Data Cleaning Complete
2026-04-15 09:28:05,016 INFO - Reading Cleaned Data for Sales by Region Aggregation
2026-04-15 09:28:05,020 INFO - Aggregating Sales by Region
2026-04-15 09:28:05,029 INFO - Saving to sales_by_region.csv
2026-04-15 09:28:05,033 INFO - Reading Cleaned Data for Sales by Product Aggregation
2026-04-15 09:28:05,036 INFO - Aggregating Sales by Product
2026-04-15 09:28:05,040 INFO - Saving to sales_by_product.csv
2026-04-15 09:28:05,045 INFO - Reading Cleaned Data for Monthly Revenue Aggregation
2026-04-15 09:28:05,048 INFO - Aggregating Monthly Revenue
2026-04-15 09:28:05,051 INFO - Saving to monthly_revenue.csv
2026-04-15 09:28:05,056 INFO - Reading Cleaned Data for Salesperson Performance Aggregation
2026-04-15 09:28:05,059 INFO - Aggregating Salesperson Performance
2026-04-15 09:28:05,064 INFO - Saving to salesperson_performance.csv
2026-04-15 09:28:05,064 INFO - Data Cleaning and Transformation Complete
2026-04-15 10:04:21,589 INFO - Loading the Uncleaned Dataset
2026-04-15 10:04:21,600 ERROR - File not found
2026-04-15 10:04:21,601 INFO - Viewing the different data types in the document
2026-04-15 10:04:21,601 INFO - Changing date datatype from string to datetime
2026-04-15 10:04:21,621 INFO - Changing from integer to float (decimal)
2026-04-15 10:04:21,622 INFO - Rechecking data types
2026-04-15 10:04:21,625 INFO - Looking for duplicates
2026-04-15 10:04:21,628 INFO - Dropping duplicated entries
2026-04-15 10:04:21,631 INFO - Counting for empty rows in the dataframe
2026-04-15 10:04:21,631 INFO - Showcasing specific empty rows
2026-04-15 10:04:21,632 INFO - Filling in the empty salesperson rows
2026-04-15 10:04:21,635 INFO - Calculating the average number of chairs
